subject_ID,Gender,ExactAge,FlooredAge,Connect4DataChecked,MARSDataChecked,QualtricsDataChecked,ConsentFormEnd,FOSEnd,TotalStudyTime,LatestOtherMaRSDate,TimeBetweenMaRS,What is your race?:,Are you Hispanic?:
183,F,10.4384,10,Y,Y,Y,12/13/20 10:33,12/13/20 11:01,0:28:22,6/12/20,184,Asian,No
208,F,9.9068,9,Y,Y,Y,12/13/20 18:22,12/13/20 19:05,0:42:55,6/12/20,184,Asian,No
212,M,9.0082,9,Y,Y,Y,12/13/20 13:18,12/13/20 13:46,0:27:30,6/18/20,178,Caucasian/White,No
215,M,12.874,12,Y,Y,Y,12/14/20 14:25,12/14/20 15:15,0:49:27,6/12/20,185,Mixed Race,No
216,F,15.2603,15,Y,Y,Y,12/19/20 19:17,12/19/20 19:39,0:22:29,6/15/20,187,Black/African American,No
217,F,14.2822,14,Y,Y,Y,12/19/20 19:22,12/19/20 19:54,0:31:16,6/15/20,187,Black/African American,Yes
209,M,12.5014,12,Y,Y,Y,12/20/20 17:21,12/20/20 18:18,0:57:13,6/13/20,190,Mixed Race,No
226,M,12.0767,12,Y,Y,Y,12/17/20 16:47,12/17/20 17:18,0:31:15,6/23/20,177,Asian,No
227,M,15.463,15,Y,Y,Y,12/19/20 6:24,12/19/20 6:54,0:29:58,6/9/20,193,Asian,No
228,F,16.8575,16,Y,Y,Y,12/15/20 0:03,12/15/20 0:21,0:18:13,6/9/20,189,Asian,No
231,M,13.9452,13,Y,Y,Y,12/16/20 14:13,12/16/20 14:37,0:24:26,6/15/20,184,Caucasian/White,No
236,F,12.2603,12,Y,Y,Y,12/17/20 13:58,12/17/20 14:30,0:32:19,6/12/20,188,Mixed Race,Yes
242,F,15.2274,15,Y,Y,Y,12/20/20 16:50,12/20/20 17:18,0:28:12,6/15/20,188,Asian,No
248,M,15.6055,15,Y,Y,Y,12/20/20 9:48,12/20/20 10:22,0:34:00,6/29/20,174,Mixed Race,Yes
249,M,14.3808,14,Y,Y,Y,12/18/20 16:30,12/18/20 17:07,0:36:52,NA,NA,Black/African American,No
245,M,9.926,9,Y,Y,Y,12/15/20 17:10,12/15/20 17:44,0:34:04,6/11/20,187,Caucasian/White,No
229,F,11.5014,11,Y,Y,Y,12/21/20 13:12,12/26/20 12:41,23:28:42,6/15/20,194,Caucasian/White,No
230,M,11.3616,11,Y,Y,Y,12/19/20 13:00,12/19/20 13:29,0:28:46,6/14/20,188,Caucasian/White,No
221,M,9.0137,9,Y,Y,Y,12/14/20 13:28,12/23/20 13:38,0:09:56,6/23/20,183,Black/African American,No
171,M,9.8986,9,Y,Y,Y,12/21/20 17:40,12/21/20 18:10,0:30:17,NA,NA,Black/African American,No
869,F,16.9973,16,Y,Y,Y,1/31/21 13:03,1/31/21 13:38,0:34:52,NA,NA,Asian,No
866,M,16.4877,16,Y,Y,Y,1/29/21 12:30,1/29/21 13:11,0:41:29,NA,NA,Black/African American,No
868,M,16.1014,16,Y,Y,Y,1/26/21 13:05,1/26/21 13:57,0:52:19,NA,NA,Black/African American,No
