planning depth,feature drop rate,heuristic quality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue,subject
4.7568,0.231922,0.507868824,252,8.8658,8,0,10,811:R_3qjkmgfPqGwc8Ds
3.492032,0.39547,0.397060852,-128,8.8877,8,0,10,814:R_3g7L4XGVMxJRB0Y
2.015977276,0.441312,0.29455207,-108,8.1233,8,0,10,832:R_xlnbFfl5i6Zgz5v
1.7872442,0.3125182,0.474783317,-94,10.9233,10,0,10,833:R_1IsH6cT55Ys9Qu4
1.207048173,0.398778,0.252674672,-81,8.1288,8,0,10,834:R_30ppJhWfEZIOoSi
6.960642,0.298914,0.546049624,91,17.2795,17,1,15,842:R_3jciZNiYxaSffqd
14.212606,0.123820006,0.121819013,-205,10.0164,10,0,10,844:R_2D6PtBpvztH0yVh
4.331558,0.394338,0.52201332,32,13.7918,13,1,15,846:R_z1hBUlYMwkfdbGh
5.04452,0.344474,0.577586498,92,11.6986,11,0,10,849:R_1im5d5ENT1vk0Xm
6.90299,0.100950363,0.386458349,274,10.6493,10,0,10,856:R_3EEYoLyNN9SpuuT
2.846644131,0.370324,0.568495714,117,15.674,15,1,15,858:R_3NR4vGxEweQ74vU
3.948406,0.097850522,0.279562863,-109,13.2,13,1,15,859:R_2TIcY7St40mDSbp
2.81202,0.314862,0.488487817,68,16.4877,16,1,15,866:R_1gV06gSb8WYiLyG
2.681041792,0.350724,0.553729764,40,16.1014,16,1,15,868:R_3fr4BoB7aWIvPgR
5.872259449,0.195162,0.623272828,207,16.9973,16,1,15,869:R_1ISnTo9jrXyYo7m
3.085538,0.264732,0.103493394,55,10.6192,10,0,10,870:R_2xVJtapsa8AgCqQ
3.71967728,0.44373,0.515922014,84,8.9041,8,0,10,872:R_3qROiZsEr7Bcg5H
3.237812,0.54212,0.568590118,-31,15.8986,15,1,15,874:R_1odMCxxk6eeEibU
0.46203206,0.1888018,0.116583517,-86,9.5616,9,0,10,875:R_sRIghBHHMf7ejap
0.769388066,0.296568,0.516648205,90,13.4712,13,1,15,876:R_2EoXmGjYUQr2dur
5.462496,0.29654,0.515638524,163,16.6493,16,1,15,877:R_3OdnHFXpuFf8un0
1.442435718,0.279144,0.573912402,108,13.3781,13,1,15,878:R_1oj3N9paNMQNcBO
7.269388,0.365132,0.546449739,-99,14.989,14,1,15,883:R_b255PQj1bstkMjD
7.521764,0.176828,0.580796694,265,15.3808,15,1,15,884:R_1GV2s0YumCvk7mL
1.473516,0.324018,0.503866861,-9,12.0329,12,0,10,889:R_1lbZpf1sOuV5qV6
3.655302,0.304232,0.575263666,76,14.6849,14,1,15,890:R_3k6BHPoEBivOVoU
5.156162,0.296486,0.553774608,206,12.3753,12,0,10,891:R_4ZvxGd3B7j8Ow4F
7.790928,0.274786,0.557945892,144,11.5068,11,0,10,892:R_2s1049Oc450dUTh
6.52366,0.371618,0.466848982,107,9.2274,9,0,10,893:R_0UL4gyg02Zovjjz
4.57661,0.46928,0.500354432,121,21.1151,21,2,21,A101:R_Q0Jd5lCBrQu5Dm9
7.24153,0.319464,0.446929469,126,20.2438,20,2,21,A103:R_3lJsCIPqfpqRhkf
6.78757,0.21718,0.5432276,356,20.2877,20,2,21,A1046:R_2PyWOmUGyUGZUEJ
4.2135436,0.235192,0.570453444,222,25.6466,25,2,21,A1052:R_787p5urRmH36oyR
4.48540626,0.248208,0.62869435,66,22.2493,22,2,21,A1068:R_wRzI7YBAT4B6vrb
6.113394,0.1484009,0.503461458,207,23.063,23,2,21,A1083:R_0OFsszTuxG152et
5.910164,0.395488,0.535626667,225,20.6082,20,2,21,A1084:R_2e2JcZRGwBBrLuc
3.507588,0.363326,0.598180443,4,23.0658,23,2,21,A1088:R_21tsSKEkouatsIv
4.026604483,0.27144,0.592802031,62,18.9836,18,2,21,A1098:R_2Ugu89wtmPn7MqW
6.125882,0.302964,0.554984426,164,22.5205,22,2,21,A1099:R_xrAaD53OJwbsqch
6.146624,0.104434594,0.20526471,-125,24.4247,24,2,21,A1107:R_1jJRP7qgTeMGQjK
