,subject,fold,1,2,3,4,5,6,7,8,9,10
142,202:R_2OHMsGSLXJZG0Bc,3,9.7423,0.0010084,0.57749,0.050275,1.3931,0.95525,1.5133,0.88235,3.844,6.2169
143,202:R_2OHMsGSLXJZG0Bc,4,5.0783,0.001,0.28726,0.05,0.89577,0.77728,0.80788,-0.055771,2.252,8.8776
144,202:R_2OHMsGSLXJZG0Bc,5,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
145,208:R_2AST2XkjQUqflkc,1,5.7012,0.44545,0.41809,0.06721,2.0554,0.095071,0.92544,-2.1251,3.4165,8.665
146,208:R_2AST2XkjQUqflkc,2,1.3587,0.090647,0.22472,0.053059,1.1246,-0.01778,0.91213,-3.1765,3.6143,9.896
147,208:R_2AST2XkjQUqflkc,3,0.81513,0.17295,0.18757,0.32862,1.8067,-0.4386,1.0766,-0.13637,4.0238,9.8839
148,208:R_2AST2XkjQUqflkc,4,0.35399,0.01682,0.25218,0.15215,1.0762,0.17949,0.74531,-6.0137,3.5666,9.8973
149,208:R_2AST2XkjQUqflkc,5,9.9994,0.43153,0.25713,0.064451,1.3948,0.05362,1.2108,-2.4001,4.6806,9.7762
150,209:R_1esokoelkIOTy89,1,10,1,0.15816,0.14728,0.25,1.1371,1.7713,1.1335,5.7253,9.9659
151,209:R_1esokoelkIOTy89,2,9.9644,0.0010129,0.64677,0.053765,1.1521,1.7243,0.91119,-0.32521,7.7614,8.4406
152,209:R_1esokoelkIOTy89,3,9.8707,0.0014448,0.67634,0.055312,0.854,1.4944,0.88809,0.3554,9.114,8.0651
153,209:R_1esokoelkIOTy89,4,10,0.0020166,0.73093,0.05,1.4371,1.6122,1.9003,0.088577,7.3646,9.2712
154,209:R_1esokoelkIOTy89,5,6.8203,0.0042707,0.27341,0.050022,0.25,1.2575,3.0496,2.2072,3.8974,9.9758
155,212:R_OOl4OrOpRgbrLBD,1,0.10003,0.030985,0.14328,0.051412,1.3528,0.21625,0.85111,0.14455,3.3168,9.9376
156,212:R_OOl4OrOpRgbrLBD,2,0.10025,0.044468,0.20951,0.050016,1.3538,0.33483,1.0626,-0.040721,3.6409,9.8378
157,212:R_OOl4OrOpRgbrLBD,3,2.6775,0.99549,0.15917,0.05,1.2653,0.53138,1.0164,-0.49684,4.4848,9.6118
158,212:R_OOl4OrOpRgbrLBD,4,9.9951,0.99732,0.19215,0.05,1.1816,0.39263,1.0759,-0.21322,4.615,9.938
159,212:R_OOl4OrOpRgbrLBD,5,0.64685,0.024183,0.31299,0.052182,1.3197,0.18306,1.1816,-1.2561,4.1736,9.9622
160,215:R_32R47f1GRrLhRdX,1,9.9995,0.0010255,0.67794,0.095329,1.4468,1.0844,-0.063763,1.1585,5.078,8.4505
161,215:R_32R47f1GRrLhRdX,2,6.0782,0.012365,0.35711,0.12762,0.79924,1.0456,-0.4586,0.38808,4.0856,8.1026
162,215:R_32R47f1GRrLhRdX,3,7.9452,0.0015388,0.69264,0.050375,1.6868,0.73052,0.24324,1.2474,5.8626,8.9062
163,215:R_32R47f1GRrLhRdX,4,10,0.0020406,0.61891,0.05,0.52162,0.73147,0.50235,2.0621,5.9349,9.3486
164,215:R_32R47f1GRrLhRdX,5,4.7109,0.0010505,0.46564,0.051278,0.82551,0.82784,-0.39423,0.73565,3.3595,10
165,216:R_21j62EoiJ63yEJ5,1,1.9989,0.63209,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
166,216:R_21j62EoiJ63yEJ5,2,1.9989,0.019989,0.32495,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
167,216:R_21j62EoiJ63yEJ5,3,6.0475,0.0010146,0.28413,0.051275,0.9516,0.74697,1.0163,0.3413,4.0824,8.5406
168,216:R_21j62EoiJ63yEJ5,4,1.9198,0.001,0.31571,0.05,1.276,0.98055,1.0791,0.53394,3.6193,8.8964
169,216:R_21j62EoiJ63yEJ5,5,0.34695,0.0088129,0.22477,0.051196,0.99664,0.94863,0.82174,0.65648,2.8045,9.9535
170,217:R_1JPc2llYzw1ezqs,1,1.6071,0.019854,0.22021,0.059922,0.34692,0.53711,1.2012,1.4551,3.2178,10
171,217:R_1JPc2llYzw1ezqs,2,1.7292,0.0011906,0.4021,0.091204,0.96789,0.64312,0.87847,1.1548,2.6533,9.8648
172,217:R_1JPc2llYzw1ezqs,3,5.6054,0.016509,0.29494,0.063539,0.55051,0.52765,0.68572,1.0921,3.2211,7.8608
173,217:R_1JPc2llYzw1ezqs,4,2.8969,0.02657,0.26223,0.084638,0.60496,0.83107,0.6752,1.0403,3.3414,9.9968
174,217:R_1JPc2llYzw1ezqs,5,1.0661,0.011028,0.40188,0.067447,0.54027,0.84832,0.9254,0.85467,3.5047,10
175,221:R_2wvlbfkxX6e4M29,1,1.9989,0.019989,0.19995,0.15811,1.2002,0.80078,1.001,0.40039,8.501,10
176,221:R_2wvlbfkxX6e4M29,2,1.6972,0.025624,0.1831,0.05001,0.72834,0.1847,1.1708,0.5704,5.6495,9.7317
177,221:R_2wvlbfkxX6e4M29,3,3.4457,0.0047625,0.051788,0.050076,0.77404,0.73708,0.61813,0.32814,5.0737,9.2326
178,221:R_2wvlbfkxX6e4M29,4,1.7536,0.062645,0.17747,0.050822,0.92367,0.56293,0.92725,0.039273,4.6595,10
179,221:R_2wvlbfkxX6e4M29,5,0.58154,0.0093412,0.080459,0.075103,0.59447,0.32422,1.037,0.66596,4.6216,9.9899
180,226:R_2X10rcLujzFpHxv,1,8.0613,0.003899,0.33012,0.05,1.5236,0.49812,0.45995,0.032725,6.0156,9.7241
181,226:R_2X10rcLujzFpHxv,2,10,0.001,0.40633,0.050001,0.84453,0.9418,-0.093531,-0.18954,9.6737,10
182,226:R_2X10rcLujzFpHxv,3,9.9979,0.0010019,0.50226,0.051724,1.7923,0.50703,1.166,0.71517,8.786,8.5872
183,226:R_2X10rcLujzFpHxv,4,8.4008,0.002379,0.47283,0.050012,2.1147,0.62025,0.41667,0.13674,4.437,9.9046
184,226:R_2X10rcLujzFpHxv,5,9.8819,0.001,0.45142,0.052201,1.1205,0.4156,0.20767,0.72323,6.0232,9.9985
185,227:R_2qlLx30lmNEXUJL,1,9.981,0.0025208,0.73643,0.050001,1.7798,0.58297,1.7099,1.5756,6.6926,9.9873
186,227:R_2qlLx30lmNEXUJL,2,0.20272,0.0013801,0.0010589,0.050156,1.8643,8.3707,9.1603,9.9081,-9.9998,-10
187,227:R_2qlLx30lmNEXUJL,3,9.0581,0.001441,0.68872,0.051123,1.2379,-0.40111,2.8721,1.4825,6.6812,-7.7442
188,227:R_2qlLx30lmNEXUJL,4,0.92204,0.016637,0.37678,0.059429,0.25959,0.019164,2.2771,0.5782,4.2945,9.9918
189,227:R_2qlLx30lmNEXUJL,5,3.7179,0.009401,0.64091,0.095691,1.1412,0.096354,1.4375,0.12314,3.7361,8.9993
