subject,fold,nll
449-R_2bWfpiDHdXVr7kL,2,123.63759999999998
449-R_2bWfpiDHdXVr7kL,3,92.53190000000001
449-R_2bWfpiDHdXVr7kL,4,103.95019999999998
449-R_2bWfpiDHdXVr7kL,5,74.46
459-R_3h3FwGmfU7ntaRK,1,91.20670000000001
459-R_3h3FwGmfU7ntaRK,2,78.88040000000002
459-R_3h3FwGmfU7ntaRK,3,117.9266
459-R_3h3FwGmfU7ntaRK,4,83.42369999999998
459-R_3h3FwGmfU7ntaRK,5,94.79099999999998
511-R_1q7Lpr4tLzK3kHb,1,83.2644
511-R_1q7Lpr4tLzK3kHb,2,63.96250000000001
511-R_1q7Lpr4tLzK3kHb,3,95.22199999999998
511-R_1q7Lpr4tLzK3kHb,4,106.88449999999999
511-R_1q7Lpr4tLzK3kHb,5,71.6118
535-R_STCj0QvQgvLzWU1,1,94.48249999999997
535-R_STCj0QvQgvLzWU1,2,105.51669999999997
535-R_STCj0QvQgvLzWU1,3,100.28469999999999
535-R_STCj0QvQgvLzWU1,4,80.0115
535-R_STCj0QvQgvLzWU1,5,88.84259999999998
560-R_WxOwlLd4093w8lH,1,80.3007
560-R_WxOwlLd4093w8lH,2,86.1758
560-R_WxOwlLd4093w8lH,3,101.8051
560-R_WxOwlLd4093w8lH,4,94.3252
560-R_WxOwlLd4093w8lH,5,89.47439999999999
804-R_3EsSw2YvrmJfDkB,1,86.90939999999998
804-R_3EsSw2YvrmJfDkB,2,110.51329999999999
804-R_3EsSw2YvrmJfDkB,3,105.93289999999998
804-R_3EsSw2YvrmJfDkB,4,109.91189999999997
804-R_3EsSw2YvrmJfDkB,5,109.3813
805-R_BDtiNRvCWgS3tlv,1,126.88579999999997
805-R_BDtiNRvCWgS3tlv,2,100.9009
805-R_BDtiNRvCWgS3tlv,3,83.6239
805-R_BDtiNRvCWgS3tlv,4,112.8465
805-R_BDtiNRvCWgS3tlv,5,125.36659999999998
806-R_2y2vsNf1xM7cyDH,1,121.38200000000002
806-R_2y2vsNf1xM7cyDH,2,132.47769999999997
806-R_2y2vsNf1xM7cyDH,3,128.58449999999996
806-R_2y2vsNf1xM7cyDH,4,140.5049
806-R_2y2vsNf1xM7cyDH,5,102.5444
810-R_2zjbTiTg8Eyyn0l,1,105.2885
810-R_2zjbTiTg8Eyyn0l,2,85.07150000000001
810-R_2zjbTiTg8Eyyn0l,3,88.81219999999999
810-R_2zjbTiTg8Eyyn0l,4,104.87819999999999
810-R_2zjbTiTg8Eyyn0l,5,89.25389999999997
811-R_3qjkmgfPqGwc8Ds,1,73.1986
811-R_3qjkmgfPqGwc8Ds,2,70.3593
811-R_3qjkmgfPqGwc8Ds,3,88.48979999999999
811-R_3qjkmgfPqGwc8Ds,4,68.92360000000001
811-R_3qjkmgfPqGwc8Ds,5,81.37240000000001
814-R_3g7L4XGVMxJRB0Y,1,111.30819999999997
814-R_3g7L4XGVMxJRB0Y,2,111.62779999999998
814-R_3g7L4XGVMxJRB0Y,3,72.5153
814-R_3g7L4XGVMxJRB0Y,4,78.94759999999998
814-R_3g7L4XGVMxJRB0Y,5,90.19139999999997
832-R_xlnbFfl5i6Zgz5v,1,103.32979999999998
832-R_xlnbFfl5i6Zgz5v,2,98.56519999999998
832-R_xlnbFfl5i6Zgz5v,3,116.67330000000001
832-R_xlnbFfl5i6Zgz5v,4,110.7108
832-R_xlnbFfl5i6Zgz5v,5,85.56519999999998
833-R_1IsH6cT55Ys9Qu4,1,100.33749999999999
833-R_1IsH6cT55Ys9Qu4,2,94.01329999999999
833-R_1IsH6cT55Ys9Qu4,3,101.98019999999998
833-R_1IsH6cT55Ys9Qu4,4,85.2576
833-R_1IsH6cT55Ys9Qu4,5,96.4833
834-R_30ppJhWfEZIOoSi,1,90.05149999999998
834-R_30ppJhWfEZIOoSi,2,79.49419999999999
834-R_30ppJhWfEZIOoSi,3,96.2054
834-R_30ppJhWfEZIOoSi,4,87.9194
834-R_30ppJhWfEZIOoSi,5,86.4372
842-R_3jciZNiYxaSffqd,1,106.4202
842-R_3jciZNiYxaSffqd,2,100.27110000000002
842-R_3jciZNiYxaSffqd,3,109.68539999999997
842-R_3jciZNiYxaSffqd,4,127.152
842-R_3jciZNiYxaSffqd,5,93.7208
844-R_2D6PtBpvztH0yVh,1,150.54559999999998
844-R_2D6PtBpvztH0yVh,2,167.73209999999997
