,subject,fold,1,2,3,4,5,6,7,8,9,10
150,209:R_1esokoelkIOTy89,1,9.9875,0.0016955,0.70376,0.050264,1.4876,1.654,0.77783,0.20185,5.4826,9.9995
151,209:R_1esokoelkIOTy89,2,9.9965,0.001,0.69392,0.069405,1.7246,1.5474,1.0623,-0.35002,5.6819,9.6009
152,209:R_1esokoelkIOTy89,3,5.0447,0.0015435,0.38212,0.051674,1.0656,1.3677,1.3226,1.2155,4.9492,8.7831
153,209:R_1esokoelkIOTy89,4,9.8327,0.0016278,0.7533,0.051646,1.7967,1.6646,1.2532,0.69168,5.2037,3.6447
154,209:R_1esokoelkIOTy89,5,0.39337,0.0059836,0.20396,0.050019,0.355,0.9523,1.1615,0.8189,4.1551,9.9942
155,212:R_OOl4OrOpRgbrLBD,1,0.74518,0.027033,0.22205,0.051253,1.0321,0.061182,1.2794,-0.12447,3.8762,9.9356
156,212:R_OOl4OrOpRgbrLBD,2,0.2437,0.008759,0.12131,0.050007,1.1272,0.3055,0.91054,-0.14875,3.2386,10
157,212:R_OOl4OrOpRgbrLBD,3,10,0.99988,0.40827,0.05,0.99393,0.38953,1.5966,-0.77578,5.3793,6.7661
158,212:R_OOl4OrOpRgbrLBD,4,0.28286,0.0055485,0.22954,0.050435,1.5143,0.31793,1.025,-0.83899,4.7287,9.9883
159,212:R_OOl4OrOpRgbrLBD,5,0.14623,0.24582,0.22681,0.05,1.0076,0.10254,1.1865,-0.024414,3.1641,10
160,215:R_32R47f1GRrLhRdX,1,4.6901,0.0073525,0.52361,0.053411,0.91925,0.97435,0.44172,0.91355,5.2674,9.977
161,215:R_32R47f1GRrLhRdX,2,1.6171,0.030859,0.29333,0.073095,0.72833,0.98267,0.21973,1.0474,3.4888,9.8096
162,215:R_32R47f1GRrLhRdX,3,9.9895,0.0051537,0.65541,0.051625,0.97448,0.90528,0.503,1.7082,8.0651,9.6793
163,215:R_32R47f1GRrLhRdX,4,1.2349,0.0097655,0.28335,0.051449,0.67612,0.80272,0.32086,0.82319,3.0099,9.9847
164,215:R_32R47f1GRrLhRdX,5,1.0986,0.0020339,0.21169,0.055234,0.43902,0.66026,0.39102,0.88614,2.7528,8.8799
165,216:R_21j62EoiJ63yEJ5,1,1.4962,0.035268,0.31298,0.050082,1.2504,0.9472,0.93251,0.83535,3.7128,9.409
