,subject,fold,1,2,3,4,5,6,7,8,9,10
120,197:R_bqny5leXGykyp0t,1,2.638,0.0052028,0.16899,0.25432,1.1192,0.084176,0.93789,-0.23461,2.7851,2.969
121,197:R_bqny5leXGykyp0t,2,2.4968,0.99977,0.46896,0.14967,0.2502,0.089797,4.632,1.9284,8.9807,8.9521
122,197:R_bqny5leXGykyp0t,3,5.5718,0.0054504,0.32312,0.17661,1.6679,-0.2407,1.1127,-0.37451,3.1309,1.626
123,197:R_bqny5leXGykyp0t,4,4.3539,0.96874,0.5743,0.15995,0.25005,0.33259,3.6769,0.21468,5.672,1.5907
124,197:R_bqny5leXGykyp0t,5,4.285,1,0.6245,0.18845,0.25002,0.58594,5.3311,-9.383,9.9438,5.8682
125,199:R_D1Afhly6eOCY66B,1,0.71917,0.037122,0.17112,0.050677,0.78453,0.2214,1.0318,0.65444,3.2413,9.6956
126,199:R_D1Afhly6eOCY66B,2,1.8206,0.069907,0.16238,0.051822,0.7503,-0.068141,1.6145,0.93553,4.4213,9.9859
127,199:R_D1Afhly6eOCY66B,3,26.067,0.0010019,0.064878,0.052532,0.25038,-0.040797,2.0778,-0.0718,5.3229,-1.605
128,199:R_D1Afhly6eOCY66B,4,0.61188,0.025476,0.31606,0.05,0.62748,0.059551,2.1875,0.49532,5.5602,9.9773
129,199:R_D1Afhly6eOCY66B,5,7.6933,0.001183,0.32853,0.051736,0.63518,-0.37763,1.6494,0.31567,5.3169,9.9644
130,200:R_1NCzjmN3Hl5r3HF,1,5.1504,0.018567,0.41377,0.073062,1.0376,1.0729,1.0139,-0.14575,4.0216,9.5137
131,200:R_1NCzjmN3Hl5r3HF,2,10.422,0.017763,0.49913,0.064936,1.0264,0.63273,0.93533,-2.1938,5.0651,9.9636
132,200:R_1NCzjmN3Hl5r3HF,3,2.5118,0.0010183,0.42574,0.050152,0.55496,0.36751,0.73034,-0.17767,4.1648,9.83
133,200:R_1NCzjmN3Hl5r3HF,4,2.5222,0.0096945,0.40987,0.050998,0.64607,0.45557,0.85319,0.20734,3.6298,9.341
134,200:R_1NCzjmN3Hl5r3HF,5,3.6987,0.0021806,0.4288,0.05,0.78574,0.40142,1.0829,-0.26571,3.0825,9.3158
135,201:R_3kzZPXnjFGbpt30,1,2.0092,0.0060209,0.24143,0.078914,0.88388,0.35759,0.85573,0.69023,3.8324,9.0473
136,201:R_3kzZPXnjFGbpt30,2,1.8772,0.0052597,0.20944,0.050261,0.91245,0.54409,0.70711,0.43133,3.842,9.559
137,201:R_3kzZPXnjFGbpt30,3,80.055,0.001,0.51734,0.051168,0.67712,0.15087,0.32535,0.98844,6.8323,9.9776
138,201:R_3kzZPXnjFGbpt30,4,6.3523,0.0085921,0.40611,0.055814,2.3552,-0.27417,1.2266,0.71064,3.9803,9.1581
139,201:R_3kzZPXnjFGbpt30,5,16.684,0.0010437,0.62394,0.052787,0.84311,0.6993,1.1335,1.0863,9.8704,9.9875
140,202:R_2OHMsGSLXJZG0Bc,1,2.8458,0.0017904,0.37889,0.050001,0.95933,0.4698,1.0795,-0.28122,3.593,8.0863
141,202:R_2OHMsGSLXJZG0Bc,2,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10
142,202:R_2OHMsGSLXJZG0Bc,3,13.331,0.0017706,0.45369,0.05,1.0954,0.96543,1.5271,-0.15576,4.824,10
143,202:R_2OHMsGSLXJZG0Bc,4,4.6735,0.0027558,0.37123,0.065484,0.75331,0.87605,0.85239,-0.49753,3.2201,8.2355
144,202:R_2OHMsGSLXJZG0Bc,5,31.248,0.0059455,0.43665,0.050301,0.96136,1.2688,1.1855,-0.48987,4.3897,8.6566
145,208:R_2AST2XkjQUqflkc,1,0.10759,0.0014069,0.30472,0.20771,0.88093,0.17992,0.67176,-1.2637,3.6808,9.9999
146,208:R_2AST2XkjQUqflkc,2,9.8135,0.58143,0.38306,0.095013,1.1639,0.56141,1.2679,-3.3143,4.7774,7.9528
147,208:R_2AST2XkjQUqflkc,3,2.3106,0.016583,0.46469,0.11094,1.5434,0.31839,0.95065,-5.567,4.0474,9.9694
148,208:R_2AST2XkjQUqflkc,4,426.03,0.79544,0.38191,0.18022,1.265,0.36458,0.69652,-2.9476,3.3313,9.907
149,208:R_2AST2XkjQUqflkc,5,463.71,0.46119,0.30402,0.11488,2.4338,0.078869,1.6639,-7.1018,6.5985,9.9899
150,209:R_1esokoelkIOTy89,1,18.917,0.0034104,0.62161,0.050513,3.1163,0.7992,0.93275,-0.21473,4.2469,9.5899
