subject,nll,nll1,nll2,nll3,nll4,nll5
A101-R_Q0Jd5lCBrQu5Dm9,449.95959999999997,90.54069999999999,80.68520000000001,81.54339999999999,92.1881,105.00219999999995
A103-R_3lJsCIPqfpqRhkf,415.1655,69.90710000000001,73.34690000000003,92.03739999999999,101.45689999999998,78.41719999999998
A1046-R_2PyWOmUGyUGZUEJ,445.85769999999997,97.14659999999999,87.14469999999999,89.99589999999999,88.179,83.3915
A1052-R_787p5urRmH36oyR,383.7301,77.62589999999999,64.34909999999999,81.4413,86.1473,74.16650000000001
A1068-R_wRzI7YBAT4B6vrb,614.3236999999999,121.28889999999997,122.86509999999998,118.91709999999996,123.44999999999997,127.80259999999998
A1083-R_0OFsszTuxG152et,440.1189,88.4918,95.65049999999997,85.769,93.96009999999998,76.2475
A1084-R_2e2JcZRGwBBrLuc,541.4825,79.4199,98.4241,130.58919999999998,109.87989999999999,123.1694
A1088-R_21tsSKEkouatsIv,655.0727999999998,145.55959999999996,126.69079999999994,118.96489999999996,142.8986,120.95889999999999
A1098-R_2Ugu89wtmPn7MqW,519.7351999999998,93.50619999999999,118.74459999999998,116.17869999999996,77.03549999999998,114.27019999999996
A1099-R_xrAaD53OJwbsqch,520.301,101.26890000000003,111.21099999999997,117.04119999999999,89.87530000000002,100.90459999999999
A1107-R_1jJRP7qgTeMGQjK,703.2985999999999,138.40579999999994,143.11919999999998,141.8772000000001,141.1166999999999,138.77969999999993
A112-R_1DSHShmupLFd4m9,496.5156999999999,96.8152,95.89299999999997,111.87879999999997,107.47479999999999,84.45389999999999
A1124-R_1FRFvReh5PWJdU4,483.9712,94.4329,99.39420000000001,99.05409999999999,97.4908,93.59919999999998
A1142-R_2q7AVjiFzzHLJze,519.2181999999999,100.63029999999999,113.6587,89.56779999999998,113.61549999999998,101.74589999999999
A1144-R_1GQ4AZBwXaNGfUa,495.88429999999994,99.2896,123.68339999999995,83.20039999999999,85.3594,104.35149999999999
A1145-R_sMqyJ1BSXGhpH45,646.8148999999999,138.3509,125.34149999999997,141.83269999999996,113.45759999999999,127.83219999999996
A115-R_2SIX12SOZtVB5hi,500.8606,106.4356,132.6437,85.08619999999999,79.2668,97.42830000000001
A1153-R_1CwnNA5xXOlHq5l,460.6861,94.4251,86.1992,96.90239999999999,87.67529999999996,95.48409999999998
A1155-R_r1L2X7BOYIy9Nuh,539.9746,101.48710000000001,103.7507,136.1227,94.39089999999997,104.22319999999999
A1156-R_3PLx6wbMJkWDIHL,508.87039999999996,103.65049999999995,109.2524,98.38980000000001,101.77449999999997,95.8032
A1157-R_0GqMhnxN1UuSyZP,423.80049999999994,87.9558,77.588,97.20529999999998,96.27980000000001,64.7716
A1164-R_1BW6aO57CMNB7R2,456.4543,74.6373,81.84360000000001,101.24890000000002,101.57489999999999,97.14959999999996
A1169-R_279by9quxXs7MJg,748.3675999999999,163.78650000000005,158.2203,141.00009999999992,145.97829999999996,139.3824
A1176-R_1IQUAVGM8CMTUs7,408.82079999999996,89.37110000000001,78.9692,95.6921,66.9321,77.8563
A1177-R_1LSZ0fYugR2CutH,614.9463,122.8301,129.1675,138.1612,90.31779999999999,134.46969999999996
A1183-R_1IRSUcwvzKWHeiK,396.08579999999995,72.01380000000002,75.4233,81.89609999999998,92.91279999999999,73.8398
A1184-R_28HW4qAaDytUum4,332.02380000000005,77.711,61.48840000000001,55.856500000000004,73.83259999999999,63.1353
A1186-R_25X9yP84u29qmjb,422.80060000000003,88.45349999999999,86.3812,77.19760000000002,105.43370000000002,65.3346
A1189-R_2Pbwv5ODYaLw4cM,399.9932,84.08529999999999,91.87759999999999,73.87080000000002,75.8537,74.3058
A1190-R_vuhZhSRa1lAUfNT,454.3127999999999,94.38579999999999,75.16199999999999,86.1516,95.11139999999997,103.50199999999998
A1195-R_3RjyrEiTIWDXA2x,510.77919999999995,114.97489999999998,100.21909999999997,119.24749999999999,74.4979,101.83979999999998
A1198-R_2rnZByl3Wr3snSB,554.6819999999999,125.93019999999997,98.96309999999998,104.94930000000002,110.85799999999998,113.98139999999998
A1203-R_3iUSiDuaITYn9xH,507.1489999999999,115.23189999999997,109.75129999999999,89.75570000000002,110.38959999999997,82.0205
A121-R_3j2tErwVrBPXWAH,392.60569999999996,77.89599999999999,58.72670000000001,82.8667,92.00259999999997,81.1137
A1218-R_27TjX2Y40PFXng2,456.5309999999999,100.73919999999998,107.01869999999998,83.0301,77.89729999999999,87.84569999999998
A130-R_zUdkqlxVsz3sXcJ,359.7045,74.8396,59.5558,85.84379999999999,67.7307,71.7346
A137-R_1BVGDFLE0MAoBT7,498.5193999999999,103.713,84.45109999999997,125.39019999999998,99.92169999999999,85.04339999999999
A139-R_2PASwn39sTwAjf7,520.5745999999999,93.12059999999998,100.03650000000002,107.85399999999998,100.51959999999998,119.04389999999998
A157-R_2S7zh1YCdNMj6yh,624.3897999999999,107.7363,127.33919999999998,138.64779999999996,104.70999999999998,145.9565
A160-R_2BhfLUXYvGnrPGY,429.13609999999994,79.4896,87.0692,90.02649999999998,84.9512,87.5996
A162-R_W6S2JhASxlVGYrn,475.43279999999993,93.32929999999999,72.64460000000003,105.7399,91.79829999999998,111.92069999999997
A197-R_24FNrEzIsOLhu9P,566.7931,110.59809999999997,106.1249,105.49390000000001,124.88249999999998,119.69369999999999
A206-R_20NeIyNUzFyrwec,380.49420000000003,72.1594,79.03250000000001,73.7911,74.3025,81.20870000000001
A217-R_2OJ7PZqh9U4UvDS,500.4756,113.18219999999998,109.51230000000001,94.8898,100.06439999999999,82.8269
A242-R_ymscU32j53VKwil,394.53459999999995,91.89959999999998,56.5754,71.7279,92.19640000000001,82.13529999999999
A259-R_2qDxofDzXoJdsd5,349.49899999999997,68.2354,54.82370000000001,81.9696,79.9854,64.4849
A290-R_pbj3IZMREKq4PTj,526.7207,112.88779999999997,124.3641,87.9237,115.41739999999996,86.12769999999996
A314-R_1mfw4bW019u3R2s,409.43999999999994,88.50269999999998,63.8034,102.71529999999997,82.86609999999999,71.55250000000001
A337-R_2Cp82k425UC0gZO,557.7161999999998,107.89669999999997,119.70349999999998,111.54659999999996,101.40369999999999,117.16570000000002
A919-R_1gqDKLw9vYTuhE7,556.5457999999999,106.2073,99.90990000000002,122.59119999999997,111.48019999999997,116.35719999999998
A927-R_1rNeL3pw39vXNRi,556.4015999999999,122.92920000000001,105.2453,94.76249999999999,112.28819999999997,121.17639999999999
A953-R_6gueSHxvF4UshlT,547.5961999999998,105.09459999999999,128.02149999999997,103.12839999999996,112.299,99.05269999999999
